site_order,needs_selenium,site_url
562,False,https://lexiconhome.com
566,False,https://adona.in
569,False,https://nativelifestyle.co.uk
572,False,https://thenineschools.co.uk
574,False,https://yourpatiostore.com
575,False,https://bohincstudio.com
579,False,https://ingoodcompany.com.au
580,True,https://myshopify.com
582,False,https://saladinostyle.com
583,False,https://finelinefurnitureandaccessories.com
584,False,https://bungalowfurniture.com
589,False,https://donar.si
591,False,https://foreverfurniture.ca
592,False,https://gblfurniture.com
593,False,https://sigmanmills.com
597,False,https://hopperstudio.com
602,False,https://centralliving.co.uk
605,False,https://headandhaft.co.uk
607,False,https://pepegarden.co.uk
611,False,https://settlehome.co.uk
612,False,https://simplyhammocks.co.uk
614,False,https://tiffanyjayne.co.uk
615,False,https://whytesofcrossgar.co.uk
616,False,https://glenwoodfurnishings.co.uk
619,False,https://lloydloom-uk.co.uk
623,False,https://askewsfurniture.co.uk
624,False,https://theattikstannes.co.uk
625,False,http://andywilx.co.uk
626,False,https://bridgnorthfurniture.co.uk
628,False,http://davidmoura.co.uk
629,False,https://theurbaneditions.com
630,False,http://furniture4lettings.co.uk
631,False,https://furnituredirectonline.co.uk
634,False,https://hanchicsfurniture.co.uk
646,False,https://simplyhomeinteriors.co.uk
651,False,https://littletulip.com
652,False,https://uniquehomefurnishing.co.uk
653,False,https://urbansize.co.uk
654,False,https://modernfurnituredeals.co.uk
655,False,https://abowed.co.uk
657,False,https://outletbarn.co.uk
659,False,https://rightprice.co.uk
662,False,https://maisonandgarden.co.uk
666,False,https://auburnfox.co.uk
670,False,https://rusticland.co.uk
671,False,https://quaysideinteriors.co.uk
680,False,https://elegancehomefurniture.co.uk
682,False,https://hemmingandwills.co.uk
689,False,https://onlydiningchairs.com.au
692,False,https://collectioni.com
693,False,https://noho.co
695,False,https://savannahspace.com
697,False,https://sundays-company.com
698,False,https://thebeachfurniture.com.au
700,False,https://superdealfurnituregallery.com
701,False,https://signaturefinefurniture.ca
705,False,https://mwfurnitureoutlet.com
